Name,Affiliation
Ting-Wan Chen,NCU
Sheng Yang,HNAS
Ming-Hsin Chang,IANCU
王隆廷,中央大學天文所
Chow-Choong Ngeow,"Graduate Institute of Astronomy, National Central University"
Antonio de Ugarte Postigo,LAM
Dr Praveen Kumar Dhankar,"Symbiosis Institute of Technology, Nagpur Campus, Symbiosis International (Deemed University),  Pune-440008, India"
張永欣,NCU
Liangduan Liu,Central China Normal University
YuHao Zhang,Central China Normal University
Yen-Chen Pan,National Central University
Wen-Ping CHEN,NCU
Laurence Sabin,"IA-UNAM, Ensenada"
Hubing Xiao,Shanghai Normal University
Gagik Tovmassian,IA UNAM
Chao-Wei Tsai,"National Astronomical Observatories, Chinese Academy of Sciences"
Diego González ,UNAM Ensenada 
Julio Ramirez,"Instituto de Astronomía, UNAM"
Chan Park,IGWA HNAS
Junjie Zhao,"Institute for Gravitational Wave Astronomy, HNAS"
Juntao Bai,Henan Academy of Sciences
he gao,Beijing Normal University
Darshan Kumar,"Institute for Gravitational Wave Astronomy, Henan Academy of Sciences"
Lingzhi Wang,Hainan Tropical Ocean University(海南热带海洋学院)
Yuhang Zhao,HNAS
Dachun Qiang,Henan Academy of Sciences
Jie Zheng,HNAS
zhiqiang You,hnas
Fengge Zhang,HNAS
Sergey Zharikov (Serguei Jarikov),IA UNAM-Ens
Wenxiong Li,NAOC
Yilen Gómez Maqueo Chew,Instituto de Astronomía UNAM
wenwen zuo,Shanghai Astronomical Observatory Chinese Academy of Sciences
Hengxiao Guo,SHAO
Jinliang Hou,Shanghai Astronomical Observatory CAS
Mingxia Huang,INAF – Osservatorio Astronomico di Padova Astronomy at the University of Padova
Antonio Martín-Carrillo,University College Dublin
Kaew Samaporn Tinyanont,National Astronomical Research Institute of Thailand
Juan Venancio,University of St Andrews
Shiang-Yu Wang,"Institute of Astronomy and Astrophysics, Academia Sinica"
Fabio De Colle,Institute of Nuclear Sciences ICN-UNAM
Bing Zhang,The University of Hong Kong
Christina Thöne,"Czech Academy of Sciences, Astronomical Institute"
Ramandeep Gill,Universidad Nacional Autónoma de México
Rosa Leticia Becerra Godínez,UNAM
